Feature_Name,Selection_Count,Selection_Frequency
ADC_IB_MedianIntensity,3,0.6
ADC_IH_IntensityHistogramMedian_Intensity,3,0.6
Post2_GLCM_Correlation,3,0.6
Post2_GLCM_InverseVariance,3,0.6
Post2_IH_RootMeanSquare_Intensity,2,0.4
Post1_IH_IntensityHistogramMode_Intensity,2,0.4
Post1_Morph_Compactness1,2,0.4
Post1_Morph_Compactness2,2,0.4
Post1_Morph_Sphericity,2,0.4
Post2_IH_IntensityHistogramMode_Intensity,2,0.4
T2_GLCM_ClusterTendency,1,0.2
T2_GLCM_ClusterProminence,1,0.2
T2_GLCM_ClusterShade,1,0.2
ADC_GLCM_ClusterTendency,1,0.2
T2_GLCM_SumVariance,1,0.2
Post2_Morph_Sphericity,1,0.2
T2_GLSZM_NormalisedZoneSizeNonUniformity,1,0.2
T2_GLSZM_GreyLevelVariance,1,0.2
Post2_GLCM_JointAverage,1,0.2
Post2_IH_MaximumHistogramGradient_Intensity,1,0.2
Post2_GLCM_SumVariance,1,0.2
ADC_GLSZM_GreyLevelVariance,1,0.2
Post2_GLCM_ClusterTendency,1,0.2
Post2_GLCM_Autocorrelation,1,0.2
Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2
T2_Morph_Sphericity,1,0.2
